NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Div_Pct,Conf,Conf_Pct,Non-Conf
Arizona Cardinals,3,14,0,0.176,355,488,-133,1 - 7 - 0,2 - 7 - 0,0 - 6 - 0,0.000,3 - 9 - 0,0.250,0 - 5 - 0
Las Vegas Raiders,3,14,0,0.176,241,432,-191,2 - 7 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 5 - 0
New York Jets,3,14,0,0.176,300,503,-203,2 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,1 - 4 - 0
Tennessee Titans,3,14,0,0.176,284,478,-194,1 - 8 - 0,2 - 6 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,1 - 4 - 0
New York Giants,4,13,0,0.235,381,439,-58,3 - 5 - 0,1 - 8 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,2 - 3 - 0
Cleveland Browns,5,12,0,0.294,279,379,-100,3 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 4 - 0
Washington Commanders,5,12,0,0.294,356,451,-95,2 - 6 - 0,3 - 6 - 0,3 - 3 - 0,0.500,3 - 9 - 0,0.250,2 - 3 - 0
Cincinnati Bengals,6,11,0,0.353,414,492,-78,3 - 6 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,1 - 4 - 0
Kansas City Chiefs,6,11,0,0.353,362,328,34,5 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,3 - 2 - 0
New Orleans Saints,6,11,0,0.353,306,383,-77,3 - 5 - 0,3 - 6 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,2 - 3 - 0
Dallas Cowboys,7,9,1,0.441,471,511,-40,4 - 3 - 1,3 - 6 - 0,4 - 2 - 0,0.667,4 - 7 - 1,0.375,3 - 2 - 0
Miami Dolphins,7,10,0,0.412,347,424,-77,5 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.500,3 - 9 - 0,0.250,4 - 1 - 0
Atlanta Falcons,8,9,0,0.471,353,401,-48,4 - 4 - 0,4 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,1 - 4 - 0
Baltimore Ravens,8,9,0,0.471,424,398,26,3 - 6 - 0,5 - 3 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 2 - 0
Carolina Panthers,8,9,0,0.471,311,380,-69,5 - 3 - 0,3 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 3 - 0
Indianapolis Colts,8,9,0,0.471,466,412,54,6 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,2 - 3 - 0
Tampa Bay Buccaneers,8,9,0,0.471,380,411,-31,4 - 4 - 0,4 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 3 - 0
Detroit Lions,9,8,0,0.529,481,413,68,5 - 3 - 0,4 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 2 - 0
Green Bay Packers,9,7,1,0.559,391,360,31,5 - 3 - 0,4 - 4 - 1,4 - 2 - 0,0.667,7 - 4 - 1,0.625,2 - 3 - 0
Minnesota Vikings,9,8,0,0.529,344,333,11,4 - 4 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0
Pittsburgh Steelers,10,7,0,0.588,397,387,10,6 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 3 - 0
Chicago Bears,11,6,0,0.647,441,415,26,6 - 2 - 0,5 - 4 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,4 - 1 - 0
Los Angeles Chargers,11,6,0,0.647,368,340,28,6 - 3 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,3 - 2 - 0
Philadelphia Eagles,11,6,0,0.647,379,325,54,5 - 3 - 0,6 - 3 - 0,3 - 3 - 0,0.500,8 - 4 - 0,0.667,3 - 2 - 0
Buffalo Bills,12,5,0,0.706,481,365,116,7 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 2 - 0
Houston Texans,12,5,0,0.706,404,295,109,7 - 2 - 0,5 - 3 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 3 - 0
Los Angeles Rams,12,5,0,0.706,518,346,172,7 - 1 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,5 - 0 - 0
San Francisco 49ers,12,5,0,0.706,437,371,66,5 - 3 - 0,7 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,3 - 2 - 0
Jacksonville Jaguars,13,4,0,0.765,474,336,138,7 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 2 - 0
Denver Broncos,14,3,0,0.824,401,311,90,8 - 1 - 0,6 - 2 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,5 - 0 - 0
New England Patriots,14,3,0,0.824,490,320,170,6 - 3 - 0,8 - 0 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,5 - 0 - 0
Seattle Seahawks,14,3,0,0.824,483,292,191,6 - 2 - 0,8 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,5 - 0 - 0
